97	324	991	565	94	850	351	454	211	151	179	
908	106	173	725	118	579	920	652	460	204	860	
629	829	720	788	900	722	921	432	828	979	32	
886	606	44	11	799	995	553	618	801	781	882	
318	226	989	201	24	745	197	671	838	338	921	
877	186	809	997	697	263	415	857	396	655	472	
466	411	537	212	900	786	496	54	447	650	675	
286	298	182	551	800	863	893	377	478	42	228	
843	901	433	222	932	46	661	527	82	646	503	
204	399	332	858	642	14	720	692	746	872	114	
26	7	974	543	476	173	510	229	773	426	176	
58	568	524	451	697	902	478	996	84	142	420	
404	551	601	925	498	267	961	209	122	615	656	
718	148	332	551	559	932	296	234	804	631	540	
811	445	71	214	559	987	675	423	758	383	704	
631	873	92	494	230	2	522	940	819	40	621	
677	533	680	259	206	68	39	612	612	393	757	
665	704	497	346	687	570	901	624	341	3	47	
719	178	448	825	170	34	566	236	850	976	974	
774	756	763	558	475	577	406	826	495	258	33	
727	404	696	447	652	581	981	443	413	385	324	
